timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
5630	0.6752558855	5157.856991	67.86321649	0
5640	0.7083299426	5154.84349	71.18715923	0
5650	0.7516415578	5150.577762	75.53997656	0
5660	0.7435226686	5151.552572	74.72402819	0
5670	0.5996612006	5166.2967	60.26595066	0
5680	0.7313396971	5153.026084	73.49963956	0
5690	0.7026643918	5155.929278	70.61777138	0
5700	0.5423798678	5172.045616	54.50917671	0
5710	0.7071335469	5155.039724	71.06692146	0
5720	0.716932119	5153.932166	72.05167796	0
5730	0.5341443556	5172.065612	53.68150774	0
5740	0.7250633001	5152.987005	72.86886166	0
5750	0.7400790015	5151.742401	74.37793965	0
5760	0.5951750299	5166.39667	59.81509051	0
5770	0.6167388051	5164.044054	61.98224992	0
5780	0.8172111527	5143.8589	82.12972085	0
5790	0.7685021709	5148.724382	77.23446817	0
5800	0.529769544	5172.807868	53.24183917	0
5810	0.7308843841	5152.744356	73.4538806	0
5820	0.6715453047	5158.817144	67.49030312	0
5830	0.6759411446	5158.406505	67.93208503	0
5840	0.6758143882	5158.434403	67.91934602	0
5850	0.6761284056	5158.326763	67.95090476	0
